FIPS,County,State,Gini Coefficient,Economic Segregation,Racial Economic Segregation,Racial Segregation,Gender Pay Gap,Uninsured Children,Uninsured (Black),Uninsured (Hispanic),Living Below Poverty (Black),Living Below Poverty (Hispanic),Lack_English_Prof
51670,Hopewell City,Virginia,0.444,-0.2890279426043802,-0.12633509547955551,0.011251086012163337,0.21781723187073676,0.032090761750405185,0.08475259498135644,0.08838383838383838,0.27576818358615324,0.20607375271149675,0.0075286415711947625
51680,Lynchburg City,Virginia,0.4448,-0.1778568713500812,-0.04471474480804451,0.33669735225963304,0.19432939725061682,0.04372465136952053,0.08895370032810791,0.14970397519030165,0.2014487079091621,0.2161741835147745,0.007285827586670431
51690,Martinsville City,Virginia,0.4797,-0.35572842998585574,-0.1547029702970297,-0.01714158504007124,0.19102475488313753,0.049775028121484814,0.10690761695659518,0.04954954954954955,0.35495626822157433,0.20903954802259886,0.011691223574631647
51700,Newport News City,Virginia,0.4572,-0.1636235017751795,-0.08791810149221857,0.011130983579097526,0.2519676207212428,0.05594481678126904,0.09775167050060247,0.23924035022814158,0.18327203833723393,0.18179532310787025,0.014002258992303123
51710,Norfolk City,Virginia,0.4759,-0.16063180335282148,-0.07529312962304983,0.028312010597092506,0.20926928018063617,0.054710583196176804,0.1262793365096171,0.21471085771568196,0.21102634904291664,0.19359255202628697,0.01403398786467546
51730,Petersburg City,Virginia,0.4475,-0.3008849557522124,-0.2587804203539823,-0.6083541484847573,0.12118691070438159,0.057942451714623575,0.09551052840683354,0.44191919191919193,0.20499804763764154,0.5072886297376094,0.015424581912648156
51735,Poquoson City,Virginia,0.3423,0.19904700021659086,0.2562269872211393,0.8889517040865773,0.11272989542012257,0.01872791519434629,0.0,0.05555555555555555,0.0,0.43548387096774194,0.0007612281146917026
51740,Portsmouth City,Virginia,0.4546,-0.224314579928929,-0.14950846886104843,-0.15272846676380653,0.2756591977010602,0.04940157881334352,0.10007870427902738,0.13619810633648943,0.18483131817028833,0.055809698078682524,0.004640242754465818
51760,Richmond City,Virginia,0.5236,-0.158529057588974,-0.07075419192276945,-0.03565731402541697,0.07586699468296165,0.06905472173021349,0.10398563663055986,0.4145923796709681,0.22188555533479037,0.1337894336754086,0.0318118818858794
51800,Suffolk City,Virginia,0.4543,-0.007943487758517971,-0.0059292462197509145,0.07800102929193292,0.28012214124942947,0.04595812797506214,0.06417647213667114,0.1809202601782703,0.13667820069204153,0.09147982062780269,0.005294036760324518
51810,Virginia Beach City,Virginia,0.4275,0.0534889237825198,0.10962687663093207,0.4220749992352368,0.19955614006246913,0.04262854021267177,0.08206263917126537,0.13775898520084567,0.12381386861313869,0.10971050101484885,0.012976976632131227
51830,Williamsburg City,Virginia,0.5024,-0.051485977396400165,0.10799497697781499,0.52147199163344,0.34151536835799035,0.04532967032967033,0.10073181231166595,0.28205128205128205,0.14464285714285716,0.075,0.015688122811742526
