FIPS,Tract,County,State,measure,value
51087201104,Census Tract 2011.04,Henrico County,Virginia,PM25,8.2279095890411
51087201203,Census Tract 2012.03,Henrico County,Virginia,PM25,8.12758
51087201204,Census Tract 2012.04,Henrico County,Virginia,PM25,8.12758
51087201205,Census Tract 2012.05,Henrico County,Virginia,PM25,8.16254767123288
51087201206,Census Tract 2012.06,Henrico County,Virginia,PM25,8.16254767123288
51087201403,Census Tract 2014.03,Henrico County,Virginia,PM25,7.97803095890411
51087201404,Census Tract 2014.04,Henrico County,Virginia,PM25,7.94715726027397
51087201405,Census Tract 2014.05,Henrico County,Virginia,PM25,8.21315506849315
51087201406,Census Tract 2014.06,Henrico County,Virginia,PM25,8.21315506849315
51087201502,Census Tract 2015.02,Henrico County,Virginia,PM25,8.17842328767123
51087201503,Census Tract 2015.03,Henrico County,Virginia,PM25,8.28256684931507
51087201504,Census Tract 2015.04,Henrico County,Virginia,PM25,8.28256684931507
51087201601,Census Tract 2016.01,Henrico County,Virginia,PM25,7.98957178082192
51087201602,Census Tract 2016.02,Henrico County,Virginia,PM25,8.24432410958904
51087201701,Census Tract 2017.01,Henrico County,Virginia,PM25,8.10276465753425
51087980100,Census Tract 9801,Henrico County,Virginia,PM25,8.16185452054795
51089010100,Census Tract 101,Henry County,Virginia,PM25,7.47368043835616
51089010200,Census Tract 102,Henry County,Virginia,PM25,7.44243767123288
51089010300,Census Tract 103,Henry County,Virginia,PM25,7.49797484931507
51089010400,Census Tract 104,Henry County,Virginia,PM25,7.51097665753425
51089010500,Census Tract 105,Henry County,Virginia,PM25,7.66865369863014
51089010601,Census Tract 106.01,Henry County,Virginia,PM25,7.58335120547945
51089010602,Census Tract 106.02,Henry County,Virginia,PM25,7.63194123287671
51089010700,Census Tract 107,Henry County,Virginia,PM25,7.52005717808219
51089010800,Census Tract 108,Henry County,Virginia,PM25,7.50030769863014
51089010900,Census Tract 109,Henry County,Virginia,PM25,7.36687915068493
51089011000,Census Tract 110,Henry County,Virginia,PM25,7.21746306849315
51089011100,Census Tract 111,Henry County,Virginia,PM25,7.293772
51089011200,Census Tract 112,Henry County,Virginia,PM25,7.09668389041096
51089011300,Census Tract 113,Henry County,Virginia,PM25,7.28878443835616
51093280101,Census Tract 2801.01,Isle Of Wight County,Virginia,PM25,7.09577945205479
51093280104,Census Tract 2801.04,Isle Of Wight County,Virginia,PM25,7.14242082191781
51093280105,Census Tract 2801.05,Isle Of Wight County,Virginia,PM25,7.12934602739726
51093280106,Census Tract 2801.06,Isle Of Wight County,Virginia,PM25,7.15901917808219
51093280107,Census Tract 2801.07,Isle Of Wight County,Virginia,PM25,7.18234739726027
51093280108,Census Tract 2801.08,Isle Of Wight County,Virginia,PM25,7.18234739726027
51093280200,Census Tract 2802,Isle Of Wight County,Virginia,PM25,7.1020197260274
51093280300,Census Tract 2803,Isle Of Wight County,Virginia,PM25,7.10450219178082
51093280400,Census Tract 2804,Isle Of Wight County,Virginia,PM25,7.08877616438356
51095080102,Census Tract 801.02,James City County,Virginia,PM25,7.09633342465753
51095080103,Census Tract 801.03,James City County,Virginia,PM25,7.13087917808219
51095080104,Census Tract 801.04,James City County,Virginia,PM25,7.13087917808219
51095080202,Census Tract 802.02,James City County,Virginia,PM25,7.18239123287671
51095080203,Census Tract 802.03,James City County,Virginia,PM25,7.16098246575342
51095080205,Census Tract 802.05,James City County,Virginia,PM25,7.19848849315068
51095080207,Census Tract 802.07,James City County,Virginia,PM25,7.21029506849315
51095080208,Census Tract 802.08,James City County,Virginia,PM25,7.21029506849315
51095080209,Census Tract 802.09,James City County,Virginia,PM25,7.21029506849315
51095080304,Census Tract 803.04,James City County,Virginia,PM25,7.19861671232877
51095080305,Census Tract 803.05,James City County,Virginia,PM25,7.24887150684931
51095080306,Census Tract 803.06,James City County,Virginia,PM25,7.24887150684931
51095080307,Census Tract 803.07,James City County,Virginia,PM25,7.1681904109589
51095080308,Census Tract 803.08,James City County,Virginia,PM25,7.1681904109589
51095080402,Census Tract 804.02,James City County,Virginia,PM25,7.22301726027397
51095080403,Census Tract 804.03,James City County,Virginia,PM25,7.22053506849315
51095080404,Census Tract 804.04,James City County,Virginia,PM25,7.22053506849315
51097950400,Census Tract 9504,King And Queen County,Virginia,PM25,7.13105616438356
51097950500,Census Tract 9505,King And Queen County,Virginia,PM25,7.09184575342466
51099040100,Census Tract 401,King George County,Virginia,PM25,7.40909178082192
51099040200,Census Tract 402,King George County,Virginia,PM25,7.41729452054795
51099040301,Census Tract 403.01,King George County,Virginia,PM25,7.57746849315069
51099040302,Census Tract 403.02,King George County,Virginia,PM25,7.57746849315069
51099040400,Census Tract 404,King George County,Virginia,PM25,7.4732695890411
51099040500,Census Tract 405,King George County,Virginia,PM25,7.32379205479452
51101950101,Census Tract 9501.01,King William County,Virginia,PM25,7.5172104109589
51101950102,Census Tract 9501.02,King William County,Virginia,PM25,7.39063342465753
51101950200,Census Tract 9502,King William County,Virginia,PM25,7.27232849315068
51101950300,Census Tract 9503,King William County,Virginia,PM25,7.19361342465753
