FIPS,County,State,Total,Under 18,18 to 64,Over 64,White,Black,Hispanic,Asian,Other_Races,Below 9th grade,High School,College,Advanced Degree,Urban_Percentage
51650,Hampton City,Virginia,136748,0.21371427735689005,0.6335010384064118,0.15278468423669817,0.3687074033989528,0.48429227484131393,0.06323310030128411,0.02176997104162401,0.061997250416825106,0.024024089550284754,0.8839381177856815,0.2731458246961531,0.10743197538676384,
51670,Hopewell City,Virginia,23020,0.25834057341442224,0.5955690703735882,0.14609035621198957,0.4419635099913119,0.43071242397914855,0.08601216333622937,0.010121633362293658,0.03119026933101651,0.04010571522960026,0.7467459530888668,0.1140403039312851,0.032309217046580775,
51680,Lynchburg City,Virginia,78973,0.19119192635457688,0.6688741721854304,0.13993390145999265,0.618692464513188,0.281995112253555,0.045142010560571336,0.024653995669406,0.029516417003279602,0.03746326023061271,0.8543748586931946,0.382771874293466,0.15740447659959303,
51690,Martinsville City,Virginia,13476,0.25259720985455625,0.5731671119026417,0.174235678242802,0.42712971208073613,0.4442712971208074,0.06671119026417334,0.008978925497180172,0.052908875037102995,0.044673925244135146,0.830957458749579,0.22123695139746324,0.07273543607587833,
51700,Newport News City,Virginia,185069,0.23397759754469954,0.6365787895325528,0.12944361292274773,0.41349982979321226,0.40236884621411473,0.09599122489449881,0.03404135754772544,0.054098741550448755,0.027658936924639176,0.8671904912520184,0.28121722628223267,0.10595794975945132,
51710,Norfolk City,Virginia,238556,0.1964402488304633,0.6908273109877765,0.11273244018176026,0.42887623870286223,0.4005642281057697,0.08631516289676218,0.035589127919649896,0.048655242374955984,0.03178712501334472,0.8416715597309704,0.31802471442297425,0.1261876801537312,
51730,Petersburg City,Virginia,33229,0.218453760269644,0.6139516687231034,0.1675945710072527,0.15010984381112882,0.7584639922958861,0.05082909506756147,0.010171837852478258,0.03042523097294532,0.060004344992396264,0.7837062785140126,0.2203780143384749,0.08338040408429286,
51735,Poquoson City,Virginia,12382,0.2191083831368115,0.5871426263931514,0.19374899047003716,0.9035696979486351,0.014617993862057825,0.03198190922306574,0.01849458891939913,0.03133581004684219,0.018448493182078606,0.93491463274894,0.4090752836026126,0.1972040792941446,
51740,Portsmouth City,Virginia,97454,0.23416175836805056,0.617829950540768,0.1480082910911815,0.3651261107804708,0.5178545775442773,0.048115008106388656,0.014991688386315595,0.05391261518254766,0.025451109485491345,0.8467446964155084,0.20979639112411608,0.07543891733723482,
51760,Richmond City,Virginia,225676,0.1736693312536557,0.6940303798365799,0.13230028890976445,0.4144304223754409,0.45008773640085786,0.07308264946206065,0.021016856023679965,0.041382335737960615,0.04704301075268817,0.8365341335333834,0.43085771442860715,0.18002625656414104,
51800,Suffolk City,Virginia,93268,0.2406291546940001,0.615366470815285,0.14400437449071493,0.48464639533387655,0.4066453660419436,0.04636102414547326,0.017991165244242397,0.04435604923446412,0.03500473036896878,0.8677546515294859,0.30988647114474926,0.12314727215389468,
51810,Virginia Beach City,Virginia,457658,0.22235818012577077,0.6343929309659178,0.14324888890831144,0.6053253739692085,0.18325037473397165,0.08581298699028532,0.06847034248281468,0.057140921823719895,0.01699541868159837,0.9069165181980148,0.38617332654619496,0.14345253245100534,
51830,Williamsburg City,Virginia,15299,0.10758873128962677,0.7259951630825544,0.1664161056278188,0.6776259886267076,0.15615399699326754,0.073926400418328,0.06608275050656906,0.026210863455127787,0.024240140668173826,0.9015322783220296,0.5043958804320523,0.2351168048229088,
