FIPS,Tract,County,State,measure,value
51087201701,Census Tract 2017.01,Henrico County,Virginia,Total,3528.0
51087980100,Census Tract 9801,Henrico County,Virginia,Total,0.0
51089010100,Census Tract 101,Henry County,Virginia,Total,3674.0
51089010200,Census Tract 102,Henry County,Virginia,Total,5063.0
51089010300,Census Tract 103,Henry County,Virginia,Total,4720.0
51089010400,Census Tract 104,Henry County,Virginia,Total,3808.0
51089010500,Census Tract 105,Henry County,Virginia,Total,3731.0
51089010601,Census Tract 106.01,Henry County,Virginia,Total,3131.0
51089010602,Census Tract 106.02,Henry County,Virginia,Total,4149.0
51089010700,Census Tract 107,Henry County,Virginia,Total,3463.0
51089010800,Census Tract 108,Henry County,Virginia,Total,2525.0
51089010900,Census Tract 109,Henry County,Virginia,Total,2638.0
51089011000,Census Tract 110,Henry County,Virginia,Total,5030.0
51089011100,Census Tract 111,Henry County,Virginia,Total,2613.0
51089011200,Census Tract 112,Henry County,Virginia,Total,2738.0
51089011300,Census Tract 113,Henry County,Virginia,Total,3794.0
51093280101,Census Tract 2801.01,Isle Of Wight County,Virginia,Total,3380.0
51093280104,Census Tract 2801.04,Isle Of Wight County,Virginia,Total,4357.0
51093280105,Census Tract 2801.05,Isle Of Wight County,Virginia,Total,4722.0
51093280106,Census Tract 2801.06,Isle Of Wight County,Virginia,Total,3297.0
51093280107,Census Tract 2801.07,Isle Of Wight County,Virginia,Total,5220.0
51093280108,Census Tract 2801.08,Isle Of Wight County,Virginia,Total,3909.0
51093280200,Census Tract 2802,Isle Of Wight County,Virginia,Total,3980.0
51093280300,Census Tract 2803,Isle Of Wight County,Virginia,Total,5367.0
51093280400,Census Tract 2804,Isle Of Wight County,Virginia,Total,4069.0
51095080102,Census Tract 801.02,James City County,Virginia,Total,4683.0
51095080103,Census Tract 801.03,James City County,Virginia,Total,3351.0
51095080104,Census Tract 801.04,James City County,Virginia,Total,2492.0
51095080202,Census Tract 802.02,James City County,Virginia,Total,5577.0
51095080203,Census Tract 802.03,James City County,Virginia,Total,3965.0
51095080205,Census Tract 802.05,James City County,Virginia,Total,4069.0
51095080207,Census Tract 802.07,James City County,Virginia,Total,3806.0
51095080208,Census Tract 802.08,James City County,Virginia,Total,3595.0
51095080209,Census Tract 802.09,James City County,Virginia,Total,3090.0
51095080304,Census Tract 803.04,James City County,Virginia,Total,6212.0
51095080305,Census Tract 803.05,James City County,Virginia,Total,5604.0
51095080306,Census Tract 803.06,James City County,Virginia,Total,4114.0
51095080307,Census Tract 803.07,James City County,Virginia,Total,4297.0
51095080308,Census Tract 803.08,James City County,Virginia,Total,4829.0
51095080402,Census Tract 804.02,James City County,Virginia,Total,10193.0
51095080403,Census Tract 804.03,James City County,Virginia,Total,3766.0
51095080404,Census Tract 804.04,James City County,Virginia,Total,4090.0
51097950400,Census Tract 9504,King And Queen County,Virginia,Total,3796.0
51097950500,Census Tract 9505,King And Queen County,Virginia,Total,2894.0
51099040100,Census Tract 401,King George County,Virginia,Total,6052.0
51099040200,Census Tract 402,King George County,Virginia,Total,3917.0
51099040301,Census Tract 403.01,King George County,Virginia,Total,4952.0
51099040302,Census Tract 403.02,King George County,Virginia,Total,2636.0
51099040400,Census Tract 404,King George County,Virginia,Total,5477.0
51099040500,Census Tract 405,King George County,Virginia,Total,3563.0
51101950101,Census Tract 9501.01,King William County,Virginia,Total,5020.0
51101950102,Census Tract 9501.02,King William County,Virginia,Total,6353.0
51101950200,Census Tract 9502,King William County,Virginia,Total,2693.0
51101950300,Census Tract 9503,King William County,Virginia,Total,3445.0
51103030100,Census Tract 301,Lancaster County,Virginia,Total,2927.0
51103030200,Census Tract 302,Lancaster County,Virginia,Total,4323.0
51103030301,Census Tract 303.01,Lancaster County,Virginia,Total,2042.0
51103030302,Census Tract 303.02,Lancaster County,Virginia,Total,1624.0
51103990100,Census Tract 9901,Lancaster County,Virginia,Total,0.0
51109950101,Census Tract 9501.01,Louisa County,Virginia,Total,2699.0
51109950102,Census Tract 9501.02,Louisa County,Virginia,Total,4939.0
51109950201,Census Tract 9502.01,Louisa County,Virginia,Total,5843.0
51109950202,Census Tract 9502.02,Louisa County,Virginia,Total,4717.0
51109950301,Census Tract 9503.01,Louisa County,Virginia,Total,3984.0
51109950302,Census Tract 9503.02,Louisa County,Virginia,Total,2909.0
51109950303,Census Tract 9503.03,Louisa County,Virginia,Total,3046.0
51109950400,Census Tract 9504,Louisa County,Virginia,Total,3232.0
51109950500,Census Tract 9505,Louisa County,Virginia,Total,5767.0
51111930100,Census Tract 9301,Lunenburg County,Virginia,Total,5316.0
51111930200,Census Tract 9302,Lunenburg County,Virginia,Total,4332.0
51111930300,Census Tract 9303,Lunenburg County,Virginia,Total,2334.0
51115951301,Census Tract 9513.01,Mathews County,Virginia,Total,2291.0
51115951302,Census Tract 9513.02,Mathews County,Virginia,Total,1725.0
51115951401,Census Tract 9514.01,Mathews County,Virginia,Total,2084.0
51115951402,Census Tract 9514.02,Mathews County,Virginia,Total,2448.0
51115990100,Census Tract 9901,Mathews County,Virginia,Total,0.0
51117930101,Census Tract 9301.01,Mecklenburg County,Virginia,Total,2882.0
51117930103,Census Tract 9301.03,Mecklenburg County,Virginia,Total,424.0
51117930104,Census Tract 9301.04,Mecklenburg County,Virginia,Total,1984.0
51117930201,Census Tract 9302.01,Mecklenburg County,Virginia,Total,4044.0
51117930202,Census Tract 9302.02,Mecklenburg County,Virginia,Total,1582.0
51117930300,Census Tract 9303,Mecklenburg County,Virginia,Total,3488.0
51117930401,Census Tract 9304.01,Mecklenburg County,Virginia,Total,2510.0
51117930402,Census Tract 9304.02,Mecklenburg County,Virginia,Total,2733.0
51117930500,Census Tract 9305,Mecklenburg County,Virginia,Total,1790.0
51117930600,Census Tract 9306,Mecklenburg County,Virginia,Total,2719.0
51117930700,Census Tract 9307,Mecklenburg County,Virginia,Total,2551.0
51117930800,Census Tract 9308,Mecklenburg County,Virginia,Total,3640.0
51119950900,Census Tract 9509,Middlesex County,Virginia,Total,1781.0
51119951000,Census Tract 9510,Middlesex County,Virginia,Total,3611.0
51119951100,Census Tract 9511,Middlesex County,Virginia,Total,2500.0
51119951200,Census Tract 9512,Middlesex County,Virginia,Total,2794.0
51119990100,Census Tract 9901,Middlesex County,Virginia,Total,0.0
51127700100,Census Tract 7001,New Kent County,Virginia,Total,6622.0
51127700200,Census Tract 7002,New Kent County,Virginia,Total,5291.0
51127700301,Census Tract 7003.01,New Kent County,Virginia,Total,6104.0
